ticker,signal,date,close,drawdown_60,drawdown_252,above_ma50,above_ma200,ret_3d_before,ret_5d_before,vol_20,vol_60,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,max_adverse_60d
GOOGL,B_趨勢回踩型,2017-01-04,40.03350830078125,-3.35%,-3.35%,True,True,0.61%,-0.27%,14.03%,18.82%,2.73%,2.06%,1.30%,4.26%,4.96%,0.00%
GOOGL,B_趨勢回踩型,2017-01-30,40.8294563293457,-4.03%,-4.03%,True,True,-4.03%,-2.44%,17.28%,19.20%,-0.27%,1.84%,2.56%,5.11%,7.93%,-1.04%
GOOGL,B_趨勢回踩型,2017-03-23,41.613502502441406,-3.75%,-3.75%,False,True,-3.26%,-3.49%,11.53%,12.46%,1.17%,0.65%,2.30%,13.18%,16.15%,-0.54%
GOOGL,B_趨勢回踩型,2017-04-07,41.734928131103516,-3.47%,-3.47%,False,True,-1.23%,-0.67%,11.29%,11.54%,1.55%,4.37%,13.85%,14.48%,10.71%,-0.26%
GOOGL,B_趨勢回踩型,2017-06-09,48.07966995239258,-3.40%,-3.40%,True,True,-2.66%,-2.61%,18.36%,16.16%,-1.19%,1.65%,-1.97%,2.91%,-2.95%,-5.22%
GOOGL,B_趨勢回踩型,2017-06-26,48.17729568481445,-3.21%,-3.21%,True,True,-0.66%,-0.32%,17.85%,16.28%,-5.41%,-1.91%,-0.31%,-2.87%,-2.53%,-5.41%
GOOGL,B_趨勢回踩型,2017-07-12,47.95774459838867,-3.65%,-3.65%,True,True,2.85%,3.80%,20.43%,18.56%,2.59%,-0.24%,-2.85%,-2.59%,1.81%,-4.84%
GOOGL,B_趨勢回踩型,2017-07-27,47.20690155029297,-5.15%,-5.15%,False,True,-4.59%,-4.00%,19.42%,17.85%,-1.28%,-3.04%,-1.64%,-1.17%,5.52%,-3.32%
GOOGL,B_趨勢回踩型,2017-08-11,46.09576416015625,-7.39%,-7.39%,False,True,-1.49%,-1.66%,15.51%,17.61%,-0.42%,0.04%,1.42%,0.45%,12.11%,-0.99%
GOOGL,B_趨勢回踩型,2017-08-28,45.99862289428711,-7.58%,-7.58%,False,True,-1.53%,0.79%,14.03%,17.96%,1.44%,2.00%,1.00%,6.43%,13.16%,0.00%
GOOGL,B_趨勢回踩型,2017-09-13,47.104312896728516,-4.80%,-5.36%,True,True,0.96%,0.89%,14.24%,16.53%,-0.31%,1.00%,5.81%,4.32%,9.90%,-2.18%
GOOGL,B_趨勢回踩型,2017-09-28,47.81650161743164,-3.36%,-3.93%,True,True,3.27%,1.82%,14.25%,15.00%,2.11%,4.23%,2.76%,8.59%,10.78%,0.00%
GOOGL,B_趨勢回踩型,2017-11-29,51.41311264038086,-3.23%,-3.23%,True,True,-1.81%,-1.23%,15.65%,16.36%,-0.45%,1.35%,1.79%,8.99%,7.72%,-2.86%
GOOGL,B_趨勢回踩型,2018-02-02,55.46814727783203,-5.76%,-5.76%,True,True,-4.94%,-5.76%,22.98%,17.80%,-6.52%,-2.12%,-2.18%,-1.71%,-7.01%,-10.19%
GOOGL,A_回撤反彈型,2018-02-14,53.1635856628418,-9.67%,-9.67%,False,True,2.53%,1.64%,38.07%,25.06%,3.47%,-0.12%,7.26%,-3.32%,2.86%,-6.29%
GOOGL,B_趨勢回踩型,2018-02-20,54.69451141357422,-7.07%,-7.07%,True,True,2.88%,4.65%,38.12%,25.02%,1.26%,-0.24%,-0.71%,-6.69%,-1.77%,-8.92%
GOOGL,B_趨勢回踩型,2018-03-07,55.2619743347168,-6.11%,-6.11%,True,True,2.85%,1.01%,31.43%,25.83%,3.04%,-1.89%,-7.39%,-2.29%,1.79%,-9.85%
GOOGL,B_趨勢回踩型,2018-03-22,52.194679260253906,-11.32%,-11.32%,False,True,-4.27%,-8.47%,29.05%,28.70%,-1.52%,-4.10%,2.30%,-0.20%,12.38%,-4.55%
GOOGL,A_回撤反彈型,2018-04-05,51.178192138671875,-13.05%,-13.05%,False,True,1.98%,2.73%,34.32%,31.61%,0.45%,5.50%,-0.61%,4.71%,9.35%,-2.20%
GOOGL,B_趨勢回踩型,2018-04-10,51.36949920654297,-12.72%,-12.72%,False,True,0.37%,1.75%,33.35%,32.18%,4.14%,-1.34%,2.13%,3.74%,10.11%,-1.73%
GOOGL,B_趨勢回踩型,2018-04-26,51.70699691772461,-11.75%,-12.15%,False,True,-2.84%,-4.24%,30.13%,34.25%,-1.63%,5.96%,4.04%,8.57%,16.07%,-2.37%
GOOGL,A_回撤反彈型,2018-05-04,52.08812713623047,-9.86%,-11.50%,False,True,0.98%,1.90%,28.58%,31.11%,4.98%,1.77%,9.71%,12.61%,16.77%,0.00%
GOOGL,B_趨勢回踩型,2018-05-11,54.68410873413086,-5.36%,-7.09%,True,True,4.23%,4.98%,29.43%,29.14%,-3.06%,-1.75%,3.40%,3.25%,13.82%,-3.20%
GOOGL,B_趨勢回踩型,2018-05-29,52.93412399291992,-8.39%,-10.06%,True,True,-1.65%,-1.47%,21.03%,28.01%,7.77%,7.50%,6.04%,9.68%,14.39%,0.00%
GOOGL,B_趨勢回踩型,2018-06-25,56.46332550048828,-3.78%,-4.07%,True,True,-3.78%,-3.74%,21.82%,23.56%,0.25%,2.45%,10.43%,10.23%,3.07%,-2.02%
GOOGL,B_趨勢回踩型,2018-07-30,60.96144485473633,-4.31%,-4.31%,True,True,-3.60%,1.57%,25.53%,21.98%,0.62%,1.51%,2.13%,-3.26%,-9.36%,-11.32%
GOOGL,B_趨勢回踩型,2018-08-15,61.069488525390625,-4.14%,-4.14%,True,True,-1.62%,-2.31%,22.69%,20.77%,-0.85%,2.63%,-4.06%,-2.02%,-11.17%,-16.03%
GOOGL,B_趨勢回踩型,2018-08-31,61.04866409301758,-4.18%,-4.18%,True,True,-1.13%,-0.40%,16.53%,19.84%,-4.61%,-5.84%,-1.89%,-10.50%,-14.57%,-16.59%
GOOGL,B_趨勢回踩型,2018-09-18,57.84259796142578,-9.21%,-9.21%,False,True,-1.27%,-1.92%,17.72%,20.41%,2.29%,3.47%,-2.92%,-10.08%,-8.02%,-11.97%
GOOGL,A_回撤反彈型,2018-09-24,58.459632873535156,-8.24%,-8.24%,False,True,0.45%,1.70%,19.04%,19.94%,2.46%,-2.00%,-5.78%,-10.50%,-12.22%,-13.05%
