ticker,group,pattern,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,hold_days,return_pct,pnl_usd_100
PWR,電力基礎建設,RUSH_VOLUME,2018-11-30,2018-12-03,35.036328401249676,2018-12-04,32.85823059082031,structure_or_atr_stop,1,-0.06216683967238057,-6.2166839672380565
PWR,電力基礎建設,RUSH_VOLUME,2019-10-11,2019-10-14,38.203735995766536,2019-10-29,41.22023391723633,structure_or_atr_stop,11,0.07895819198949705,7.895819198949705
PWR,電力基礎建設,RUSH_VOLUME,2020-10-01,2020-10-02,52.305145991607425,2020-10-12,60.72433090209961,paper_target_15pct,6,0.16096284124401605,16.096284124401606
PWR,電力基礎建設,BUILT_VOLUME,2020-11-05,2020-11-06,64.1787111218533,2020-12-14,67.82237243652344,structure_or_atr_stop,25,0.05677367542878953,5.677367542878953
PWR,電力基礎建設,VOLUME_PIT,2020-12-24,2020-12-28,70.97353430988929,2021-01-04,67.62200927734375,structure_or_atr_stop,4,-0.04722218028359548,-4.722218028359548
PWR,電力基礎建設,BUILT_VOLUME,2021-03-26,2021-03-29,85.93504979772858,2021-04-06,91.36357116699219,structure_or_atr_stop,5,0.06317004972989593,6.317004972989593
PWR,電力基礎建設,VOLUME_PIT,2021-11-11,2021-11-12,116.0126303619094,2021-11-30,112.94212341308594,structure_or_atr_stop,11,-0.02646700569795557,-2.646700569795557
PWR,電力基礎建設,BUILT_VOLUME,2022-02-28,2022-03-01,108.99747799188404,2022-03-01,107.6376953125,structure_or_atr_stop,0,-0.012475359104045403,-1.2475359104045403
PWR,電力基礎建設,BUILT_VOLUME,2022-04-12,2022-04-13,133.40137889369925,2022-04-21,124.48931884765625,structure_or_atr_stop,5,-0.06680635627570652,-6.680635627570652
PWR,電力基礎建設,BUILT_VOLUME,2023-03-21,2023-03-22,160.5483704686977,2023-05-04,164.6802978515625,expired_30d,30,0.025736339589135904,2.5736339589135904
PWR,電力基礎建設,BUILT_VOLUME,2023-05-09,2023-05-10,171.82561499422013,2023-05-23,165.9352264404297,structure_or_atr_stop,9,-0.034281201635673386,-3.4281201635673386
PWR,電力基礎建設,BUILT_VOLUME,2023-05-25,2023-05-26,173.63188943722523,2023-05-31,176.86080932617188,structure_or_atr_stop,2,0.018596352890083878,1.8596352890083878
PWR,電力基礎建設,BUILT_VOLUME,2023-08-03,2023-08-04,203.72363554678478,2023-09-13,199.6006317138672,structure_or_atr_stop,27,-0.02023822038052503,-2.023822038052503
PWR,電力基礎建設,RUSH_VOLUME,2024-04-29,2024-04-30,260.77784266538424,2024-06-12,276.1081848144531,expired_30d,30,0.05878698125722259,5.878698125722259
PWR,電力基礎建設,BUILT_VOLUME,2024-08-12,2024-08-13,262.700057335963,2024-09-03,257.0565185546875,structure_or_atr_stop,14,-0.02148282279991298,-2.148282279991298
PWR,電力基礎建設,RUSH_VOLUME,2024-10-29,2024-10-30,311.39844549445064,2024-10-31,301.08453369140625,structure_or_atr_stop,1,-0.03312126939705029,-3.312126939705029
PWR,電力基礎建設,BUILT_VOLUME,2024-11-05,2024-11-06,310.05819743641354,2024-12-09,321.397705078125,structure_or_atr_stop,22,0.03657219107724763,3.657219107724763
PWR,電力基礎建設,BUILT_VOLUME,2024-12-11,2024-12-12,332.1523782646642,2024-12-18,320.0401306152344,structure_or_atr_stop,4,-0.036465936847149716,-3.6465936847149716
PWR,電力基礎建設,RUSH_VOLUME,2025-10-24,2025-10-27,445.0073071851185,2025-10-29,448.4164733886719,structure_or_atr_stop,2,0.007660921851189162,0.7660921851189162
PWR,電力基礎建設,BUILT_VOLUME,2025-10-30,2025-10-31,456.1127097741617,2025-10-31,448.8561706542969,structure_or_atr_stop,0,-0.0159095306146102,-1.5909530614610201
PWR,電力基礎建設,BUILT_VOLUME,2025-11-03,2025-11-04,442.52384717709344,2025-11-13,426.6697082519531,structure_or_atr_stop,7,-0.03582663177651457,-3.5826631776514573
PWR,電力基礎建設,BUILT_VOLUME,2025-11-24,2025-11-25,443.95580692016176,2025-12-12,437.8428649902344,structure_or_atr_stop,12,-0.013769257738364682,-1.3769257738364682
PWR,電力基礎建設,BUILT_VOLUME,2026-03-18,2026-03-19,562.727051783564,2026-03-20,555.1961059570312,structure_or_atr_stop,1,-0.013382946141763385,-1.3382946141763385
PWR,電力基礎建設,RUSH_VOLUME,2026-03-24,2026-03-25,580.9571307623148,2026-03-26,545.4495239257812,structure_or_atr_stop,1,-0.06111915140785262,-6.111915140785262
PWR,電力基礎建設,VOLUME_PIT,2026-05-26,2026-05-27,748.3796674470012,2026-05-29,711.6212768554688,structure_or_atr_stop,2,-0.04911730260781788,-4.911730260781788
CEG,AI電力,BUILT_VOLUME,2022-11-14,2022-11-15,92.1298642836548,2022-12-16,85.80715942382812,structure_or_atr_stop,22,-0.06862817946154742,-6.862817946154742
